contrada,date,am_start,am_end,pm_start,pm_end,count_alfieri,count_tamburini,count_paggi,gps_label_01,gps_label_02,gps_label_03,gps_label_04,gps_label_05,gps_label_06,gps_label_07,gps_label_08,gps_label_09,gps_label_10,gps_label_11,gps_label_12
civetta,2018-06-17,08:10:00,13:20:00,15:50:00,20:40:00,46,28,5,tam,alf,tam,tam,tam,alf,alf,tam,tam,alf,alf,alf
leocorno,2018-06-24,08:10:00,14:10:00,16:40:00,20:00:00,56,30,4,tam,other,tam,alf,alf,alf,alf,NA,NA,NA,NA,NA
